Title,Price,Rating,Image URL,Product URL,Ad/Organic,Page
"HP 15, AMD Ryzen 3 7320U (8GB LPDDR5, 512GB SSD) FHD, Anti-Glare, Micro-Edge, 15.6""/39.6cm, Win 11, Office 21, Silver, 1.59kg, fc0154AU, AMD Radeon Graphics, 1080p FHD Camera Laptop",₹45990,4.0 out of 5 stars,https://m.media-amazon.com/images/I/61SHFVKs+AL._AC_UY218_.jpg,https://www.amazon.in/HP-Laptop-15-6-inch-Graphics-fc0154AU/dp/B0D3HG5CMG/ref=sr_1_11?dib=eyJ2IjoiMSJ9.wPz7DuCTFdkPzZWP4VvEMPU7Odtm8KKK3SAR69uRy8k289X7sClHRNWRXOO_O9Y19Eoih9HcxplTXrRx64D2nUZ5ipHcPSesIK39vekfSibeapai_fjdQdNT8jXyz03a7mOeDKR9aq-fxLZag-Yak9Pb9rJzWEjbGelMWm0mCCJiQ-VABPyjrWMdBj8XRqa0N-X8eqgocH6ox_9QN3BOLKTzd_F8KKaZrqL12ofp9UY.DE-aaealws95coP7rhIL6UyyCU_1ARV77PXLJain7G0&dib_tag=se&keywords=laptops&qid=1780645040&sr=8-11,Organic,1
"Dell 15 Smart Choice (Previously Inspiron), 13th Gen Intel Core i5-1334U (16GB RAM, 1TB SSD) FHD, 15.6""/39.62cm, Windows 11 MSO'24, Silver, 1.62kg, 12 Month McAfee, Backlit KB, Thin & Light Laptop",₹66990,3.8 out of 5 stars,https://m.media-amazon.com/images/I/718X9G8SM0L._AC_UY218_.jpg,https://www.amazon.in/Dell-Generation-i5-1334U-Processor-Keyboard/dp/B0DSFQZTVW/ref=sr_1_12?dib=eyJ2IjoiMSJ9.wPz7DuCTFdkPzZWP4VvEMPU7Odtm8KKK3SAR69uRy8k289X7sClHRNWRXOO_O9Y19Eoih9HcxplTXrRx64D2nUZ5ipHcPSesIK39vekfSibeapai_fjdQdNT8jXyz03a7mOeDKR9aq-fxLZag-Yak9Pb9rJzWEjbGelMWm0mCCJiQ-VABPyjrWMdBj8XRqa0N-X8eqgocH6ox_9QN3BOLKTzd_F8KKaZrqL12ofp9UY.DE-aaealws95coP7rhIL6UyyCU_1ARV77PXLJain7G0&dib_tag=se&keywords=laptops&qid=1780645040&sr=8-12,Organic,1
"HP 15 (2026), AMD Ryzen 3 Quad Core 7335U - (8 GB DDR5/512 GB SSD/AMD Radeon 660M Graphics/Windows 11 Home) Thin and Light Business Laptop/15.6"" Display/Turbo Silver/Copilot Key/1.5kg/MS Office",₹43640,N/A,https://m.media-amazon.com/images/I/71vF+WK+vrL._AC_UY218_.jpg,https://www.amazon.in/HP-15-Ryzen-Quad-7335U/dp/B0GY75ZCZS/ref=sr_1_13?dib=eyJ2IjoiMSJ9.wPz7DuCTFdkPzZWP4VvEMPU7Odtm8KKK3SAR69uRy8k289X7sClHRNWRXOO_O9Y19Eoih9HcxplTXrRx64D2nUZ5ipHcPSesIK39vekfSibeapai_fjdQdNT8jXyz03a7mOeDKR9aq-fxLZag-Yak9Pb9rJzWEjbGelMWm0mCCJiQ-VABPyjrWMdBj8XRqa0N-X8eqgocH6ox_9QN3BOLKTzd_F8KKaZrqL12ofp9UY.DE-aaealws95coP7rhIL6UyyCU_1ARV77PXLJain7G0&dib_tag=se&keywords=laptops&qid=1780645040&sr=8-13,Organic,1
"𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)",₹32490,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,https://www.amazon.in/%F0%9D%97%97%F0%9D%97%B2%F0%9D%97%B9%F0%9D%97%B9Laptop-5420-%F0%9D%97%9C%F0%9D%97%A1%F0%9D%97%A7%F0%9D%97%98%F0%9D%97%9Fi5-Processor-Condition/dp/B0H1JV266J/ref=sr_1_14?dib=eyJ2IjoiMSJ9.wPz7DuCTFdkPzZWP4VvEMPU7Odtm8KKK3SAR69uRy8k289X7sClHRNWRXOO_O9Y19Eoih9HcxplTXrRx64D2nUZ5ipHcPSesIK39vekfSibeapai_fjdQdNT8jXyz03a7mOeDKR9aq-fxLZag-Yak9Pb9rJzWEjbGelMWm0mCCJiQ-VABPyjrWMdBj8XRqa0N-X8eqgocH6ox_9QN3BOLKTzd_F8KKaZrqL12ofp9UY.DE-aaealws95coP7rhIL6UyyCU_1ARV77PXLJain7G0&dib_tag=se&keywords=laptops&qid=1780645040&sr=8-14,Organic,1
"Lenovo V15 G4 AMD Ryzen 5 7520U 15.6 inch FHD Laptop, AMD Graphics, 16GB DDR5 5500Mhz Ram, 512GB SSD NVMe, Windows 11, Dolby Audio, Arctic Grey, 1 Year Onsite Brand Warranty",₹54790,4.0 out of 5 stars,https://m.media-amazon.com/images/I/71aup0IO2ZL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-Graphics-5500Mhz-Windows-Warranty/dp/B0F29HNJL1/ref=sr_1_15?dib=eyJ2IjoiMSJ9.wPz7DuCTFdkPzZWP4VvEMPU7Odtm8KKK3SAR69uRy8k289X7sClHRNWRXOO_O9Y19Eoih9HcxplTXrRx64D2nUZ5ipHcPSesIK39vekfSibeapai_fjdQdNT8jXyz03a7mOeDKR9aq-fxLZag-Yak9Pb9rJzWEjbGelMWm0mCCJiQ-VABPyjrWMdBj8XRqa0N-X8eqgocH6ox_9QN3BOLKTzd_F8KKaZrqL12ofp9UY.DE-aaealws95coP7rhIL6UyyCU_1ARV77PXLJain7G0&dib_tag=se&keywords=laptops&qid=1780645040&sr=8-15,Organic,1
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Blush",₹64990,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61dLund7bhL._AC_UY218_.jpg,https://www.amazon.in/Apple-2026-MacBook-Laptop-chip/dp/B0GR6HXPB9/ref=sr_1_16?dib=eyJ2IjoiMSJ9.wPz7DuCTFdkPzZWP4VvEMPU7Odtm8KKK3SAR69uRy8k289X7sClHRNWRXOO_O9Y19Eoih9HcxplTXrRx64D2nUZ5ipHcPSesIK39vekfSibeapai_fjdQdNT8jXyz03a7mOeDKR9aq-fxLZag-Yak9Pb9rJzWEjbGelMWm0mCCJiQ-VABPyjrWMdBj8XRqa0N-X8eqgocH6ox_9QN3BOLKTzd_F8KKaZrqL12ofp9UY.DE-aaealws95coP7rhIL6UyyCU_1ARV77PXLJain7G0&dib_tag=se&keywords=laptops&qid=1780645040&sr=8-16,Organic,1
"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6 Inch (39.6cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office Home 2024/3months Game Pass/Arctic Grey/1.62Kg), 83ER00MCIN",₹61890,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61kNhhiAxSL._AC_UY218_.jpg,https://www.amazon.in/Lenovo-IdeaPad-i5-12450H-Windows-83ER00MCIN/dp/B0FJF95B56/ref=sr_1_17?dib=eyJ2IjoiMSJ9.NpVVCmZ5m7ahqIg4h5xYDFVgNeeq0hJehXY-d-iAzLw2KhHaHJseM61d70xSc6viLWxrPPe-FWWWPqlr-wqKoMQJflBr3KFWqKSmvL7XC2-z-PE60UZG5A6rNKECed2oLrFdoeRd159lw-O4y0jLG98UifD9ssKvdrx-tPXRYYpBqp9_QDddytn68bMBaAfA2A4GFUsW9V9V1aLu4ds9I8XMfnYalz99eakYHaljAOk.ENbYu0mEk0m8-2Dtx34yNtrj6l70ZEeanVp_XuOod00&dib_tag=se&keywords=laptops&qid=1780645046,Organic,2
"HP Smartchoice Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x,1TB SSD) 2K OLED,16''/40.6cm, Win11, M365(1yr)*Office24, Glacier Silver, 1.59kg, fb0001QU,Next-Gen AI Laptop",₹67889,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71IdAMTOjZL._AC_UY218_.jpg,https://www.amazon.in/HP-Previously-Snapdragon-Processor-fb0001QU/dp/B0FRM3G9JF/ref=sr_1_18?dib=eyJ2IjoiMSJ9.NpVVCmZ5m7ahqIg4h5xYDFVgNeeq0hJehXY-d-iAzLw2KhHaHJseM61d70xSc6viLWxrPPe-FWWWPqlr-wqKoMQJflBr3KFWqKSmvL7XC2-z-PE60UZG5A6rNKECed2oLrFdoeRd159lw-O4y0jLG98UifD9ssKvdrx-tPXRYYpBqp9_QDddytn68bMBaAfA2A4GFUsW9V9V1aLu4ds9I8XMfnYalz99eakYHaljAOk.ENbYu0mEk0m8-2Dtx34yNtrj6l70ZEeanVp_XuOod00&dib_tag=se&keywords=laptops&qid=1780645046,Organic,2
"ASUS Chromebook CX1405 (2026), Smartchoice,Intel N50 Processor, Intel UHD iGPU, 8GB RAM, 128GB SSD, FHD, 14"" (35.5 cm), Chrome OS, Pure Grey, 1.39 Kg, CX1405CTA-S60622, 42WHrs, Thin & Light Laptop",₹30990,2.7 out of 5 stars,https://m.media-amazon.com/images/I/616Jpqwdp3L._AC_UY218_.jpg,https://www.amazon.in/ASUS-Chromebook-Smartchoice-Processor-CX1405CTA-S60622/dp/B0GN2Y3T6M/ref=sr_1_19?dib=eyJ2IjoiMSJ9.NpVVCmZ5m7ahqIg4h5xYDFVgNeeq0hJehXY-d-iAzLw2KhHaHJseM61d70xSc6viLWxrPPe-FWWWPqlr-wqKoMQJflBr3KFWqKSmvL7XC2-z-PE60UZG5A6rNKECed2oLrFdoeRd159lw-O4y0jLG98UifD9ssKvdrx-tPXRYYpBqp9_QDddytn68bMBaAfA2A4GFUsW9V9V1aLu4ds9I8XMfnYalz99eakYHaljAOk.ENbYu0mEk0m8-2Dtx34yNtrj6l70ZEeanVp_XuOod00&dib_tag=se&keywords=laptops&qid=1780645046,Organic,2
"HP Laptop 15 Intel Core i3 13th Gen (8GB|512 GB SSD)/Window 11 Home 15-FD0533TU Laptop (15.6 inch,Natural Silver,1.59 kg, with MS Office",₹47490,5.0 out of 5 stars,https://m.media-amazon.com/images/I/51wbekXOKuL._AC_UY218_.jpg,https://www.amazon.in/HP-Laptop-Window-15-FD0533TU-Natural/dp/B0GR9Q34RL/ref=sr_1_20?dib=eyJ2IjoiMSJ9.NpVVCmZ5m7ahqIg4h5xYDFVgNeeq0hJehXY-d-iAzLw2KhHaHJseM61d70xSc6viLWxrPPe-FWWWPqlr-wqKoMQJflBr3KFWqKSmvL7XC2-z-PE60UZG5A6rNKECed2oLrFdoeRd159lw-O4y0jLG98UifD9ssKvdrx-tPXRYYpBqp9_QDddytn68bMBaAfA2A4GFUsW9V9V1aLu4ds9I8XMfnYalz99eakYHaljAOk.ENbYu0mEk0m8-2Dtx34yNtrj6l70ZEeanVp_XuOod00&dib_tag=se&keywords=laptops&qid=1780645046,Organic,2
